county,area,l_2018,pop_2010,pop_2018,pop_density,ln_2018_pop,ln_pop_density,pop_dif,abs_pop_dif,l_2017,inf_dif
Adams,583.91,2,28342,27926,47.82586357,10.23731343,3.867566572,-416,416,1,1
Allen,404.43,8,105562,104157,257.5402418,11.55365466,5.551175987,-1405,1405,3,5
Ashland,424.37,4,53202,53299,125.5955888,10.88367285,4.833067132,97,97,0,4
Ashtabula,702.44,7,100346,98622,140.39918,11.49904964,4.944489651,-1724,1724,5,2
Athens,506.76,1,64840,65563,129.3768253,11.09076679,4.862729273,723,723,1,0
Auglaize,401.25,2,45867,45778,114.0884735,10.73155891,4.736974231,-89,89,2,0
Belmont,537.35,6,69793,68889,128.2013585,11.14025179,4.853602141,-904,904,1,5
Brown,491.76,2,44464,43799,89.06580446,10.68736627,4.489375472,-665,665,4,-2
Butler,467.27,15,371154,375702,804.0362103,12.83655155,6.689644306,4548,4548,8,7
Carroll,394.67,1,28539,27825,70.50193833,10.23369018,4.255640203,-714,714,0,1
Champaign,428.56,4,39628,39005,91.01409371,10.57144512,4.51101437,-623,623,1,3
Clark,339.86,13,137303,135520,398.7524275,11.81687451,5.988340742,-1783,1783,4,9
Clermont,451.99,3,199450,202166,447.2798071,12.21684442,6.103184365,2716,2716,3,0
Clinton,410.88,0,41871,41869,101.9007983,10.64230098,4.623999774,-2,2,1,-1
Columbiana,532.46,9,106622,104584,196.4166322,11.55774586,5.280238078,-2038,2038,9,0
Coshocton,564.07,1,36768,36602,64.88910951,10.50785816,4.172679805,-166,166,4,-3
Crawford,402.11,8,43036,42231,105.023501,10.65090983,4.654184144,-805,805,1,7
Cuyahoga,458.49,148,1267513,1257401,2742.482933,14.04455745,7.916618969,-10112,10112,109,39
Darke,599.8,4,52537,51919,86.56052017,10.85744009,4.460843824,-618,618,0,4
Defiance,411.16,2,38795,38311,93.17783831,10.55349234,4.534509907,-484,484,1,1
Delaware,442.41,17,181821,193024,436.3011686,12.17056981,6.078332759,11203,11203,8,9
Erie,254.88,2,76416,75369,295.7038606,11.23015133,5.689358483,-1047,1047,3,-1
Fairfield,505.11,12,148067,151526,299.9861416,11.92851251,5.703736279,3459,3459,6,6
Fayette,406.58,2,28875,28659,70.48797285,10.26322281,4.255442097,-216,216,2,0
Franklin,539.87,208,1197592,1253507,2321.868228,14.04145578,7.750127411,55915,55915,123,85
Fulton,406.78,0,42541,42296,103.97758,10.6524478,4.644175299,-245,245,1,-1
Gallia,468.78,0,30763,30203,64.42894321,10.31569654,4.165562961,-560,560,1,-1
